sequence_id	gb_segment_missing	gb_isolate_missing	gb_host_missing	gb_country_missing	gb_collection_year_missing	gb_collection_month_missing	gb_collection_month_day_missing	gb_serotype_missing		
AM900374		RSAvvv1/09	Ovis aries		1942			9		
AM900375		RSArrrr/09						9		
AM900376		TUR2000/03						9		
AM900377		BOS2002/02	Ovis aries			AUG	14	9		
AM900378		RSArrrr/05	Ovis aries					5		
AM900379		RSArrrr/15	Bos taurus					15		
AM900380		RSArrrr/20	Culicoides sp.					20		
AM900381		IND1997/01	Ovis aries			DEC		23		
AM900382		IND1982/01				MAR	26	2		
AM900383		SUD1987/01				APR	16	1		
AM900384		RSArrrr/01	Ovis aries					1		
AM900385		IND2005/02						9		
AM900386		IND2004/05						16		
AM900387		IND2004/08						23		
AM900388		IND2005/01						9		
AM900389		NET2006/01(12)	Ovis aries	Netherlands		AUG	15	8		
AM900390		RSArrrr/21	Bos taurus					21		
AY028210		10090Z	Ovis aries	USA	1990					
AY028211		10090Z	Ovis aries	USA				10		
AY079124	7	Corsican bluetongue virus		France	2001					
AY120938					1999			8		
AY124371	3	Corsican bluetongue virus		France	2000					
AY124372	8	Corsican bluetongue virus		France	2000					
AY124373	9	Corsican bluetongue virus		France	2000					
AY129083	6	Corsican bluetongue virus								
AY129084	6	Ondersterpoort BTV-2 monovalent vaccine		South Africa						
AY129085	4	Corsican bluetongue virus								
AY134477	4	Ondersterpoort BTV-2 monovalent vaccine						2		
AY137387	5									
AY138895	5	Ondersterpoort BTV-2 monovalent vaccine								
AY138896	8	Ondersterpoort BTV-2 monovalent vaccine								
AY154458	1	Corsican bluetongue virus		France						
AY189951								2		
AY263377			Ovis aries							
AY273207										
AY277928			Bos taurus	Indonesia						
AY277929			Bos taurus	Australia	1991					
AY277930			Bos taurus	Australia	1995					
AY277931			Bos taurus	Australia	1994					
AY277932			Bos taurus	Australia	1995					
AY277933			Bos taurus	Australia	1995					
AY277934			Bos taurus	Australia	1996					
AY277935			Bos taurus	Australia	1994					
AY322427			Bos taurus	Australia	1982					
AY322428			Bos taurus	Australia	1979					
AY359960		BTV-18/INDIA/TN/SIVAGANGAI/2001			2001					
AY359961		BTV-1/INDIA/TV/2000			2000					
AY366301	10			India						
AY366302	10			India						
AY366303	10			India						
AY376324	3			India						
AY383038	3									
AY383039	3									
AY386682	7			China						
AY426595					1988					
AY426596					1990					
AY426597					1990					
AY426598					1989					
AY426599					1988					
AY426600					1990					
AY426601					1989					
AY426602					1990					
AY426603					1990					
AY426604					1990					
AY438033										
AY438034										
AY449650			Ovis aries		1979					
AY449651			Ovis aries		1999					
AY449652			Ovis aries		1999					
AY449653			Ovis aries		1999					
AY449654			Ovis aries		1999					
AY449655			Ovis aries		1999					
AY449656			Ovis aries		1999					
AY449657			Ovis aries		2001					
AY462225	5	KM	Capra hircus	Taiwan	2003	MAY		2		
AY485667	7	la Reunion		France	2003	AUG				
AY485668	10	la Reunion		France	2003	AUG				
AY485669	2	la Reunion		France	2003	AUG				
AY493684	8	KM	Capra hircus		2003	MAY		2		
AY493685	10	KM	Capra hircus		2003	MAY		2		
AY493686	1	KM	Capra hircus		2003	MAY		2		
AY493687	2	KM	Capra hircus		2003	MAY		2		
AY493688	3	KM	Capra hircus		2003	MAY		2		
AY493689	4	KM	Capra hircus		2003	MAY		2		
AY493690	6	KM	Capra hircus		2003	MAY		2		
AY493691	9	KM	Capra hircus		2003	MAY		2		
AY493692	7	KM	Capra hircus		2003	MAY		2		
AY559058					1992					
AY559060					1999					
AY559061										
AY606206	7									
AY636071	2	BT17L2-199		USA						
AY636072	2	BT17L2-240		USA						
AY636073	2	BT17L2-284		USA						
AY636074	2	BTV17L2-283		USA						
AY636075	2	BTV17L2-298		USA						
AY636076	2	BT17L2-285		USA						
AY636077	2	BTV17L2-300		USA						
AY636078	2	BTV17L2-299		USA						
AY643505					1995	MAY				
AY643506					1988	JAN				
AY643507					1998					
AY643508					1995	MAY				
AY643509					1988	JAN				
AY643510					1998					
AY643511					1988	JAN				
AY643512					1998					
AY677620			Bos taurus		1999					
AY677621			Ovis aries		1999					
AY677622			Capra hircus		1999					
AY677623			Ovis aries		1999					
AY677624			Ovis aries		1999					
AY677626			Ovis aries		1999					
AY677627			Ovis aries		1999					
AY677628			Ovis aries		2001					
AY677629			Ovis aries		1998					
AY691691			Ovis aries		1999					
AY691692			Ovis aries		2000					
AY741396					2000					
AY741397					2003					
AY775152										
AY775153		4913/02								
AY775154		6409/02								
AY775155		10353/03	Ovis aries							
AY775156		9034/03								
AY775157		322222								
AY775158		320226								
AY775159										
AY775160										
AY775161		12217/00	Ovis aries							
AY775162		8054/02	Bos taurus							
AY775163		243277								
AY775164										
AY776331										
AY789967	7									
AY823220			Ovis aries							
AY823221		81640_01								
AY823222		81641_01			2001					
AY823223										
AY823224										
AY839945			Ovis aries		2003					
AY839946			Ovis aries		2000					
AY839947			Ovis aries		1999					
AY839948					2004					
AY839949			Ovis aries		2003					
AY841351			Ovis aries		2000					
AY841352			Ovis aries		1999					
AY841353					2004					
AY855264	2				1959					
AY855265	2				1982					
AY855266	2				1982					
AY855267	2				1999					
AY855268	2				1999					
AY855269	2				1999					
AY855270	4				1959					
AY855271	4				1982					
AY855272	4				1982					
AY855273	4				1999					
AY855274	4				1999					
AY855275	4				1999					
AY855276	6				1959					
AY855277	6				1982					
AY855278	6				1982					
AY855279	6				1999					
AY855280	6				1999					
AY855281	6				1999					
AY855282	7				1999					
AY855283	7				1999					
AY855284	7				1999					
AY855285	8				1959					
AY855286	8				1982					
AY855287	8				1982					
AY855288	8				1999					
AY855289	8				1999					
AY855290	8				1999					
AY857499			Ovis aries		2003					
AY857500			Ovis aries		1999					
AY857501			Ovis aries		2000					
AY857502					2004					
AY857503			Ovis aries		2003					
AY857504			Ovis aries		1999					
AY857505			Ovis aries		2000					
AY857506					2004					
D00153	2			USA						
D00253				Australia						
D00500				USA						
D00509				USA						
D10905				South Africa						
D12532				USA						
DQ017956		8341/00	Ovis aries		2000					
DQ017957										
DQ017958		93036/03	Ovis aries		2003					
DQ017959		12217/00	Ovis aries		2000					
DQ017960		8054/02	Bos taurus		2002					
DQ017961										
DQ017962										
DQ080910	6			USA						
DQ080911	6			USA						
DQ080912	6			USA						
DQ080913	6			USA						
DQ080914	6			USA						
DQ080915	6			USA						
DQ098092										
DQ098093										
DQ098094										
DQ098095										
DQ098096										
DQ098097										
DQ098098										
DQ098099										
DQ098100										
DQ098101										
DQ098102										
DQ186790			Bos taurus		1985					
DQ186791			Bos taurus		1986					
DQ186792			Ovis aries		1958					
DQ186793			Ovis aries		1959					
DQ186794			Ovis aries		1969					
DQ186795					1942					
DQ186796			Ovis aries		1960					
DQ186797					1999	SEP	29			
DQ186798			Ovis aries		2004	FEB	12			
DQ186799			Ovis aries		2004	FEB	12			
DQ186800			Ovis aries		1999					
DQ186801			Ovis aries		1999					
DQ186802			Capra hircus		1999	AUG	10			
DQ186803			Bos taurus		1999					
DQ186804			Ovis aries		1999	SEP	24			
DQ186805			Ovis aries		1999	SEP	29			
DQ186806			Ovis aries		2000	OCT	3			
DQ186807			Ovis aries		2001	OCT	15			
DQ186808			Ovis aries		1998	NOV	3			
DQ186809			Ovis aries		1999	AUG	13			
DQ186810			Ovis aries		1998					
DQ186811			Culicoides sp.		2001	FEB	19			
DQ186812					1991	AUG	1			
DQ186813			Ovis aries		2001	SEP	5			
DQ186814			Ovis aries		2001	FEB	27			
DQ186815			Ovis aries		2002	JUL	18			
DQ186816					1987	APR				
DQ186817			Ovis aries		2004	SEP				
DQ186818					1982	AUG	19			
DQ186819					1982	AUG	22			
DQ186820			Ovis aries		2001	DEC	31			
DQ186821			Ovis aries		1999	AUG	19			
DQ186822			Ovis aries		2001	SEP	18			
DQ186823			Ovis aries		1979					
DQ186824			Ovis aries		2003	NOV	17			
DQ186825			Bos taurus		1983	OCT	11			
DQ186826					2000	FEB	3			
DQ186827					2000					
DQ186828			Culicoides sp.							
DQ191259			Ovis aries		1999					
DQ191260										
DQ191261			Ovis aries							
DQ191262			Ovis aries							
DQ191263			Ovis aries							
DQ191264			Ovis aries							
DQ191265			Cervus elaphus corsicanus							
DQ191266			Ovis aries							
DQ191267			Ovis aries							
DQ191268			Ovis aries							
DQ191269			Ovis aries							
DQ191270			Ovis aries							
DQ191271			Bos taurus							
DQ191272			Ovis aries							
DQ191273			Ovis aries							
DQ191274										
DQ191275										
DQ191276			Bos taurus							
DQ191277										
DQ191278			Ovis aries							
DQ191279			Ovis aries							
DQ191280			Ovis aries							
DQ191281										
DQ191282			Ovis aries							
DQ191283										
DQ191284			Ovis aries		2001					
DQ191285			Ovis aries							
DQ289041	9									
DQ289042	9									
DQ289043	9									
DQ289044	9		Bos taurus		1982					
DQ289045	9									
DQ289046	9									
DQ289047	9									
DQ289048	9									
DQ289049	9	1353	Bos taurus							
DQ289050	9	1541	Bos taurus							
DQ372599	7									
DQ372600	7									
DQ399834										
DQ399835										
DQ399836										
DQ399837										
DQ418907										
DQ418908										
DQ465026			Ovis aries	South Africa	1955					
DQ465027			Bos taurus	South Africa	1960					
DQ465028			Ovis aries	South Africa	1976					
DQ641923										
DQ825668			Ovis aries							
DQ825669			Ovis aries							
DQ825670			Ovis aries							
DQ825671			Ovis aries							
DQ825672			Ovis aries							
DQ825673			Ovis aries							
DQ832170										
DQ848152	2	BTV/Bov/BC/NS-3481/2004			2004					
DQ872902										
EF059720			Ovis aries		2001	OCT	15			
EF059721					1982	AUG	26			
EF059722			Bos taurus		2002	FEB	21			
EF059723			Bos taurus		2005	AUG	10			
EF059724					1982	AUG	9			
EF059725			Ovis aries		1958	JUN	25			
EF059726			Ovis aries		1955					
EF059727					1937					
EF059728			Ovis aries		1942					
EF059729			Ovis aries		2001					
EF059730			Culicoides sp.		2003					
EF059731					1982	JAN	14			
EF059732			Culicoides sp.		2003					
EF059733			Ovis aries		1960					
EF059734			Ovis aries		1960					
EF059735			Ovis aries		1976					
EF059736			Ovis aries		1976					
EF059737			Culicoides sp.		1975					
EF059738			Bos taurus		1979					
EF059739					1982	AUG	8			
EF059740			Ovis aries		1988					
EF059741			Ovis aries		1992					
EF174159			Bos taurus		2003	MAY				
EF434175										
EF434176										
EF434177										
EF434178										
EF434179										
EF434180										
EF533882										
EF533883										
EF533884										
EF540909										
EF540910										
EF540911										
EF540912										
EF540913										
EF540914										
EF540915										
EF540916										
EF540917										
EF540918										
EF540919										
EF540920										
EF540921										
EF540922										
EF540923										
EF540924										
EF540925										
EF540926										
EF540927										
EF540928										
EF540929										
EF540930										
EF540931										
EF540932										
EF540933										
EF540934										
EF540935										
EF540936										
EF554838			Ovis aries		1999			9		
EF554839			Ovis aries		1999			9		
EF554840			Ovis aries		1999			9		
EF554841			Ovis aries		1999			9		
EF554842			Ovis aries		2000			9		
EF554843			Ovis aries		1999			9		
EF554844			Ovis aries		1999			9		
EF554845			Ovis aries		1999			9		
EF554846			Ovis aries		1999			9		
EF554847			Ovis aries		2000			9		
EF554848			Ovis aries		2000			9		
EF554849			Ovis aries		2000			9		
EF554850			Ovis aries		1999			9		
EF554851			Ovis aries		1999			16		
EF554852			Ovis aries		1999			9		
EF554853			Ovis aries		2000			9		
EF554854			Ovis aries		1999			9		
EF554855			Ovis aries		2001					
EF554856			Ovis aries		2001			9		
EF554857			Ovis aries		2001			9		
EF554858			Ovis aries		2001			9		
EU131022										
EU131023										
EU131024										
EU131025										
EU131026										
EU131027					1988					
EU220289			Ovis aries		2001	OCT	15	1		
EU220290					2003			1		
EU220291			Bos taurus		2002	FEB	21	4		
EU220292				South Africa				4		
EU220293					2005			9		
EU220294			Ovis aries		2002	AUG	14	9		
EU220295			Ovis aries	South Africa	1942			9		
EU220296					2000			16		
EU220297					2004			23		
EU422952			Ovis aries		2006	AUG				
EU422953			Ovis aries		2006	OCT				
EU427465										
EU427466										
EU443927					1985					
EU443928					1994					
EU443929					1999					
EU450660										
EU450661										
EU450662										
EU450663										
EU498674										
EU498675										
EU498676										
EU625361			Ovis aries		2006	AUG				
EU625362			Ovis aries		2006	OCT				
EU839840										
EU839841										
EU839842										
EU839843										
EU839844										
EU839845										
EU839846										
EU880280	3									
EU880281	3									
EU880282	3									
EU880283	3									
EU880284	5									
EU880286	5									
EU880287	3									
EU880288	5									
EU880289	5									
EU880290	5									
EU880291	3									
EU880292	3									
FJ004985						NOV				
FJ004986						DEC				
FJ004987						DEC				
FJ183374	1									
FJ183375	2									
FJ183376	3									
FJ183377	4									
FJ183378	5									
FJ183379	6									
FJ183380	7									
FJ183381	8									
FJ183382	9									
FJ183383	10									
FJ437557						NOV				
FJ437558						NOV				
FJ437559						NOV				
FJ437560						NOV				
FJ437561						NOV				
FJ437562						AUG				
FJ437563						AUG				
FJ440679						AUG				
FJ713316	10	USA prototype 600558		South Africa						
FJ713317	10	USA prototype 600557		South Africa						
FJ713318	10	USA prototype 600565		South Africa						
FJ713319	10	USA prototype 600566		South Africa						
FJ713320	10	USA prototype 600567		South Africa						
FJ713321	10	USA prototype 600568		South Africa						
FJ713322	10	USA prototype 600561		South Africa						
FJ713323	10	USA prototype 600570		South Africa						
FJ713324	10	USA prototype 600571		South Africa						
FJ713325	10	USA prototype 600604		South Africa						
FJ713326	10	USA prototype 600672		South Africa						
FJ713327	10	USA prototype 600576		South Africa						
FJ713328	10	USA prototype 600577		South Africa						
FJ713329	10	USA prototype 600578		South Africa						
FJ713330	10	USA prototype 600579		South Africa						
FJ713331	10	USA prototype 21ODV9901		South Africa						
FJ713332	10	USA prototype 019ODV9301		South Africa						
FJ713333	10	USA prototype 022ODV9301		South Africa						
FJ713334	10	USA prototype 023ODV8901		South Africa						
FJ713335	10	USA prototype NVSL053191		South Africa						
FJ713336	5	USA prototype 600558		South Africa						
FJ713337	5	USA prototype 600557		South Africa						
FJ713338	5	USA prototype 600565		South Africa						
FJ713339	5	USA prototype 600566		South Africa						
FJ713340	5	USA prototype 600567		South Africa						
FJ713341	5	USA prototype 600568		South Africa						
FJ713342	5	USA prototype 600561		South Africa						
FJ713343	5	USA prototype 600570		South Africa						
FJ713344	5	USA prototype 600571		South Africa						
FJ713345	5	USA prototype 600604		South Africa						
FJ713346	5	USA prototype 600672		South Africa						
FJ713347	5	USA prototype 600576		South Africa						
FJ713348	5	USA prototype 600577		South Africa						
FJ713349	5	USA prototype 600578		South Africa						
FJ713350	5	USA prototype 600579		South Africa						
FJ713351	5	USA prototype 21ODV9901		South Africa						
FJ713352	5	USA prototype 019ODV9301		South Africa						
FJ713353	5	USA prototype 022ODV9301		South Africa						
FJ713354	5	USA prototype 023ODV8901		South Africa						
FJ713355	5	USA prototype NVSL053191		South Africa						
FJ745372						OCT				
FJ745373						OCT				
FJ947066	7									
FJ969719										
FJ969720										
FJ969721										
FJ969722										
FJ969723										
FJ969724										
FJ969725										
FJ969726										
FJ969727										
FJ969728										
FM179950	6		Ovis aries			JUL	27			
FM179951	6		Ovis aries			JUL	28			
GQ233041	2									
GQ506450		GRE2001/01	Ovis aries				26			
GQ506451		NET2007/01	Bos taurus				27			
GQ506452		NET2007/01	Bos taurus				27			
GQ506453		NET2007/01	Bos taurus				27			
GQ506454		NET2007/01	Bos taurus				27			
GQ506455		NET2007/01	Bos taurus				27			
GQ506456		NET2007/01	Bos taurus				27			
GQ506457		NET2007/01	Bos taurus				27			
GQ506458		NET2007/01	Bos taurus				27			
GQ506459		NET2007/01	Bos taurus				27			
GQ506460		NET2007/01	Bos taurus				27			
GQ506461		GER2008/05				DEC				
GQ506462		GER2008/05				DEC				
GQ506463		GER2008/05				DEC				
GQ506464		GER2008/05				DEC				
GQ506465		GER2008/05				DEC				
GQ506466		GER2008/05				DEC				
GQ506467		GER2008/05				DEC				
GQ506468		NET2008/04	Bos taurus			SEP				
GQ506469		NET2008/04	Bos taurus			SEP				
GQ506470		NET2008/04	Bos taurus			SEP				
GQ506471		NET2008/04	Bos taurus			SEP				
GQ506472		NET2008/05	Bos taurus			SEP				
GQ506473		NET2008/05	Bos taurus			SEP				
GQ506474		NET2008/05	Bos taurus			SEP				
GQ506475		NET2008/05	Bos taurus			SEP				
GQ506476		NET2008/05	Bos taurus			SEP				
GQ506477		NET2008/05	Bos taurus			SEP				
GQ506478		NET2008/05	Bos taurus			SEP				
GQ506479		NET2008/05	Bos taurus			SEP				
GQ506480		NET2008/05	Bos taurus			SEP				
GQ506481		NET2008/05	Bos taurus			SEP				
GQ506482		NET2008/06				SEP				
GQ506483		NET2008/06				SEP				
GQ506484		NET2008/06				SEP				
GQ506485		NET2008/06				SEP				
GQ506486		NET2008/06				SEP				
GQ506487		NET2008/06				SEP				
GQ506488		P635								
GQ506489		P635								
GQ506490		P635								
GQ506491		P635								
GQ506492		P635								
GQ506493		P635								
GQ506494		P635								
GQ506495		P635								
GQ506496		P635								
GQ506497		P635								
GQ506498		RSArrrr/06	Ovis aries							
GQ506499		RSArrrr/06	Ovis aries							
GQ506500		RSArrrr/06	Ovis aries							
GQ506501		RSArrrr/06	Ovis aries							
GQ506502		RSArrrr/06	Ovis aries							
GQ506503		RSArrrr/06	Ovis aries							
GQ506504		RSArrrr/06	Ovis aries							
GQ506505		RSArrrr/06	Ovis aries							
GQ506506		5011-60E-PP	Ovis aries		1958					
GQ506507		5011-60E-PP	Ovis aries		1958					
GQ506508		5011-60E-PP	Ovis aries		1958					
GQ506509		5011-60E-PP	Ovis aries		1958					
GQ506510		5011-60E-PP	Ovis aries		1958					
GQ506511		5011-60E-PP	Ovis aries		1958					
GQ506512		5011-60E-PP	Ovis aries		1958					
GQ506513		5011-60E-PP	Ovis aries		1958					
GQ506514		5011-60E-PP	Ovis aries		1958					
GQ506515		5011-60E-PP	Ovis aries		1958					
GQ506516		BT2-03								
GQ506517		BT2-03								
GQ506518		BT2-03								
GQ506519		BT2-03								
GQ506520		BT2-03								
GQ506521		BT2-03								
GQ506522		BT2-03								
GQ506523		BT2-03								
GQ506524		BT2-03								
GQ506525		BT2-03								
GQ506526		5011-60E-Strathene	Ovis aries							
GQ506527		5011-60E-Strathene	Ovis aries							
GQ506528		5011-60E-Strathene	Ovis aries							
GQ506529		5011-60E-Strathene	Ovis aries							
GQ506530		5011-60E-Strathene	Ovis aries							
GQ506531		5011-60E-Strathene	Ovis aries							
GQ506532		5011-60E-Strathene	Ovis aries							
GQ506533		5011-60E-Strathene	Ovis aries							
GQ506534		5011-60E-Strathene	Ovis aries							
GQ506535		5011-60E-Strathene	Ovis aries							
GQ506536		USA2006/01	Bos taurus							
GQ506537		USA2006/01	Bos taurus							
GQ506538		USA2006/01	Bos taurus							
GQ506539		USA2006/01	Bos taurus							
GQ506540		USA2006/01	Bos taurus							
GQ506541		USA2006/01	Bos taurus							
GQ506542		USA2006/01	Bos taurus							
GQ506543		USA2006/01	Bos taurus							
GQ506544		USA2006/01	Bos taurus							
GQ506545		USA2006/01	Bos taurus							
GQ982522										
GQ982523										
GQ982524										
GU213110	6									
GU390658		BTV12/PT/2003				MAY				
GU390659		BTV12/PT/2003				MAY				
GU390660		BTV12/PT/2003				MAY				
GU390661		BTV12/PT/2003				MAY				
GU390662		BTV12/PT/2003				MAY				
GU390663		BTV12/PT/2003				MAY				
GU390664		BTV12/PT/2003				MAY				
GU390665		BTV12/PT/2003				MAY				
GU550956	2	NET2008/04				SEP				
GU550957	2	NET2008/06				SEP				
GU784864		BTV12/PT/2003				MAY				
GU931314	6					NOV				
GU931315	6					OCT				
GU931316	2					JUN				
GU931317	2					JUN				
GU931318	2					NOV				
GU954425		11B09								
GU954426		B09						11		
GU954427		B09						11		
HM014236						JUN				
HM590642						FEB				
HM590643						FEB				
HM590644						FEB				
HQ222818										
HQ222819										
HQ222820										
HQ222821										
HQ222822										
HQ222823										
HQ222824										
HQ222825						MAY				
HQ241072						MAY				
HQ397596	1	CSIRO156		Australia	1979					
HQ397597	1	DPP192		Australia	1982					
HQ397598	1	DPP965		Australia	1986					
HQ397599	1	CSIRO19		Australia						
HQ397600	1	CSIRO154		Australia						
HQ397601	1	DPP90		Australia						
HQ397602	1	DPP973		Australia	1986					
HQ397603	1	DPP6963		Australia						
HQ397604	1	DP0836		Australia						
HQ397605	1	DPP5884		Australia				5		
HQ397606	1	DPP4444		Australia				4		
HQ397607	1	DPP7152		Australia				7		
HQ397673	1	JKT-10757						1		
HQ719213	10							23		
J04365	7			USA				13		
JF303890	2									
JF343006	2		Ovis aries	France		NULL				
JF423934	2					FEB				
JF423935	2					JUL				
JF423936	2					AYG				
JF423937	2					SEP				
JF423938	2					SEP				
JF443155										
JF443156										
JF443157										
JF443158										
JF443159										
JF443160										
JF443161										
JF443162										
JF443163										
JF443164										
JF443165										
JF443166										
JF443167										
JF443168										
JF443169	7		Ovis aries	India	2003					
JF727655						AUG				
JF747592										
JF768738										
JF768739										
JF776369	7									
JF815523	6					SEP				
JF899598	6									
JF969307	6									
JF980714	6									
JN003580						DEC				
JN003581						OCT				
JN003582						OCT				
JN006965										
JN106018	2					NOV				
JN106019	2					NOV				
JN106020	2					NOV				
JN106021	2					NOV				
JN106022	2					NOV				
JN106023	2					OCT				
JN106024	2					SEP				
JN106025	2					OCT				
JN106026	2					OCT				
JN108882	8									
JN108883			Ovis aries							
JN162682	2		Ovis aries					24		
JN162683	2							24		
JN162684	2							24		
JN162685	2							24		
JN162686	2							24		
JN255156						FEB				
JN255157						FEB				
JN255158						FEB				
JN255159						FEB				
JN255160						FEB				
JN255161						FEB				
JN255162						FEB				
JN255862		BTV-2IT(L)								
JN255863		BTV-2IT(L)								
JN255864		BTV-2IT(L)								
JN255865		BTV-2IT(L)								
JN255866		BTV-2IT(L)								
JN255867		BTV-2IT(L)								
JN255868		BTV-2IT(L)								
JN255869		BTV-2IT(L)								
JN255870		BTV-2IT(L)								
JN255871		BTV-2IT(L)								
JN255872		BTV-2IT(H)								
JN255873		BTV-2IT(H)								
JN255874		BTV-2IT(H)								
JN255875		BTV-2IT(H)								
JN255876		BTV-2IT(H)								
JN255877		BTV-2IT(H)								
JN255878		BTV-2IT(H)								
JN255879		BTV-2IT(H)								
JN255880		BTV-2IT(H)								
JN255881		BTV-2IT(H)								
JN255882		BTV-4IT(L)								
JN255883		BTV-4IT(L)								
JN255884		BTV-4IT(L)								
JN255885		BTV-4IT(L)								
JN255886		BTV-4IT(L)								
JN255887		BTV-4IT(L)								
JN255888		BTV-4IT(L)								
JN255889		BTV-4IT(L)								
JN255890		BTV-4IT(L)								
JN255891		BTV-4IT(L)								
JN255892		BTV-4IT(H)								
JN255893		BTV-4IT(H)								
JN255894		BTV-4IT(H)								
JN255895		BTV-4IT(H)								
JN255896		BTV-4IT(H)								
JN255897		BTV-4IT(H)								
JN255898		BTV-4IT(H)								
JN255899		BTV-4IT(H)								
JN255900		BTV-4IT(H)								
JN255901		BTV-4IT(H)								
JN255902		BTV-9IT(L)								
JN255903		BTV-9IT(L)								
JN255904		BTV-9IT(L)								
JN255905		BTV-9IT(L)								
JN255906		BTV-9IT(L)								
JN255907		BTV-9IT(L)								
JN255908		BTV-9IT(L)								
JN255909		BTV-9IT(L)								
JN255910		BTV-9IT(L)								
JN255911		BTV-9IT(L)								
JN255912		BTV-9IT(H)								
JN255913		BTV-9IT(H)								
JN255914		BTV-9IT(H)								
JN255915		BTV-9IT(H)								
JN255916		BTV-9IT(H)								
JN255917		BTV-9IT(H)								
JN255918		BTV-9IT(H)								
JN255919		BTV-9IT(H)								
JN255920		BTV-9IT(H)								
JN255921		BTV-9IT(H)								
JN255922		BTV-2RSA(WT)	Ovis aries							
JN255923		BTV-2RSA(WT)	Ovis aries							
JN255924		BTV-2RSA(WT)	Ovis aries							
JN255925		BTV-2RSA(WT)	Ovis aries							
JN255926		BTV-2RSA(WT)	Ovis aries							
JN255927		BTV-2RSA(WT)	Ovis aries							
JN255928		BTV-2RSA(WT)	Ovis aries							
JN255929		BTV-2RSA(WT)	Ovis aries							
JN255930		BTV-2RSA(WT)	Ovis aries							
JN255931		BTV-2RSA(WT)	Ovis aries							
JN255932		BTV-2RSA(vacc)	Ovis aries							
JN255933		BTV-2RSA(vacc)	Ovis aries							
JN255934		BTV-2RSA(vacc)	Ovis aries							
JN255935		BTV-2RSA(vacc)	Ovis aries							
JN255936		BTV-2RSA(vacc)	Ovis aries							
JN255937		BTV-2RSA(vacc)	Ovis aries							
JN255938		BTV-2RSA(vacc)	Ovis aries							
JN255939		BTV-2RSA(vacc)	Ovis aries							
JN255940		BTV-2RSA(vacc)	Ovis aries							
JN255941		BTV-2RSA(vacc)	Ovis aries							
JN255942		BTV4-RSA(vacc)	Ovis aries		1900					
JN255943		BTV4-RSA(vacc)	Ovis aries		1900					
JN255944		BTV4-RSA(vacc)	Ovis aries		1900					
JN255945		BTV4-RSA(vacc)	Ovis aries		1900					
JN255946		BTV4-RSA(vacc)	Ovis aries		1900					
JN255947		BTV4-RSA(vacc)	Ovis aries		1900					
JN255948		BTV4-RSA(vacc)	Ovis aries		1900					
JN255949		BTV4-RSA(vacc)	Ovis aries		1900					
JN255950		BTV4-RSA(vacc)	Ovis aries		1900					
JN255951		BTV4-RSA(vacc)	Ovis aries		1900					
JN255952		BTV-9RSA(WT)	Ovis aries		1942					
JN255953		BTV-9RSA(WT)	Ovis aries		1942					
JN255954		BTV-9RSA(WT)	Ovis aries		1942					
JN255955		BTV-9RSA(WT)	Ovis aries		1942					
JN255956		BTV-9RSA(WT)	Ovis aries		1942					
JN255957		BTV-9RSA(WT)	Ovis aries		1942					
JN255958		BTV-9RSA(WT)	Ovis aries		1942					
JN255959		BTV-9RSA(WT)	Ovis aries		1942					
JN255960		BTV-9RSA(WT)	Ovis aries		1942					
JN255961		BTV-9RSA(WT)	Ovis aries		1942					
JN255962		BTV-9RSA(vacc)	Ovis aries		1942					
JN255963		BTV-9RSA(vacc)	Ovis aries		1942					
JN255964		BTV-9RSA(vacc)	Ovis aries		1942					
JN255965		BTV-9RSA(vacc)	Ovis aries		1942					
JN255966		BTV-9RSA(vacc)	Ovis aries		1942					
JN255967		BTV-9RSA(vacc)	Ovis aries		1942					
JN255968		BTV-9RSA(vacc)	Ovis aries		1942					
JN255969		BTV-9RSA(vacc)	Ovis aries		1942					
JN255970		BTV-9RSA(vacc)	Ovis aries		1942					
JN255971		BTV-9RSA(vacc)	Ovis aries		1942					
JN544065	2					FEB		8		
JN544066	2					MAR		8		
JN544067	2					APR		8		
JN544068	2							8		
JN544069	2					MAY		8		
JN544070	2					JUN		8		
JN544071	2					JUN		8		
JN544073	2					JUL		8		
JN544074	2					JUL		8		
JN544075	2					OCT		8		
JN544076	2					NOV		8		
JN546195	2					NOV				
JN546196	2					NOV				
JN546197	2					SEP				
JN546198	2					NOV				
JN546199	2					NOV				
JN546200	2					NOV				
JN546202	1					SEP				
JN546203	1					OCT				
JN546204	1					DEC				
JN546205	1					OCT				
JN546206	1					NOV				
JN546207	1					NOV				
JN546208	1					NOV				
JN546209	1					NOV				
JN546210	1					NOV				
JN546211	1					DEC				
JN558348						SEP		1		
JN558349						OCT		1		
JN564041	2					JAN				
JN564042	2					JAN				
JN564043	2					SEP				
JN564044	2					NOV				
JN572916	6							21		
JN572917	2							16		
JN572918	6							16		
JN579709	6					NOV		9		
JN579710	2					NOV		9		
JN613126	2					NOV		21		
JN635334										
JN671906		BN96/16	Ovis aries					16		
JN671907		BN96/16	Ovis aries					16		
JN671908		BN96/16	Ovis aries					16		
JN671909		BN96/16	Ovis aries					16		
JN671910		BN96/16	Ovis aries					16		
JN671911		BN96/16	Ovis aries					16		
JN671912		BN96/16	Ovis aries					16		
JN671913		BN96/16	Ovis aries					16		
JN671914		BN96/16	Ovis aries					16		
JN671915		BN96/16	Ovis aries					16		
JN704634	2							10		
JN704635	6							10		
JN848759		SZ97/1								
